2.239637600000000006e+01,1.139710909999999870e+02
2.228459833999999873e+01,1.141593895000000032e+02
2.228083071000000004e+01,1.141538389999999907e+02
2.227810099999999949e+01,1.141578740999999866e+02
2.228403631000000118e+01,1.141493331999999867e+02
2.228140799999999899e+01,1.141619719999999916e+02
2.228462499999999835e+01,1.141547639999999859e+02
2.227865299999999849e+01,1.141604189999999903e+02
2.228698100000000082e+01,1.141525169999999889e+02
2.227995400000000004e+01,1.141626659999999873e+02
2.228568939999999543e+01,1.141564832999999908e+02
2.228080599999999833e+01,1.141575739999999968e+02
2.228678800000000138e+01,1.141530429999999967e+02
2.228554100000000204e+01,1.141531350000000060e+02
2.228457152000000008e+01,1.141476243000000039e+02
2.228217742000000001e+01,1.141538650999999902e+02
2.228717337999999870e+01,1.141575658000000004e+02
2.227723987999999977e+01,1.141572192000000001e+02
2.228626493000000153e+01,1.141610102999999867e+02
